timestamp,container_name,cpu_percent,mem_usage_mb,gpu_percent,gpu_mem_percent
2025-10-10T16:47:47Z,analylit_redis,1.62%,3.629MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:47Z,analylit-worker-import-1,0.06%,20.89MiB / 4GiB,N/A,N/A
2025-10-10T16:47:47Z,analylit_db,0.03%,17.07MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:47Z,analylit_monitor,0.77%,9.645MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:47Z,analylit-worker-extraction-5,0.05%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:47Z,analylit-worker-analysis-2,0.05%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:47Z,analylit-worker-synthesis-2,0.05%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:47Z,analylit-worker-screening-1,0.05%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:47Z,analylit_ollama,36.31%,22.59MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:47Z,analylit-rq-dashboard-1,25.76%,19.43MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:47Z,analylit-worker-analysis-3,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:47Z,analylit-worker-synthesis-1,0.04%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:47Z,analylit-worker-extraction-3,0.05%,21.99MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:47Z,analylit-worker-screening-2,0.05%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:47Z,analylit-worker-analysis-1,2.66%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:47Z,analylit-worker-extraction-2,15.27%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:47Z,analylit-worker-analysis-6,0.05%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:47Z,analylit-worker-extraction-1,0.05%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:47Z,analylit-worker-analysis-4,0.04%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:47Z,analylit-worker-extraction-6,7.46%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:47Z,analylit-worker-analysis-5,0.04%,22.05MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:47Z,analylit-worker-extraction-4,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:55Z,analylit-rq-dashboard-1,0.01%,19.43MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:55Z,analylit-worker-import-1,0.04%,20.89MiB / 4GiB,N/A,N/A
2025-10-10T16:47:55Z,analylit-worker-analysis-2,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:55Z,analylit-worker-analysis-3,0.03%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:55Z,analylit-worker-synthesis-2,0.04%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:55Z,analylit-worker-analysis-1,0.03%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:55Z,analylit-worker-analysis-6,0.04%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:55Z,analylit-worker-extraction-5,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:55Z,analylit-worker-analysis-4,0.05%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:55Z,analylit-worker-extraction-3,0.04%,21.99MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:55Z,analylit_ollama,0.00%,25.64MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:55Z,analylit-worker-screening-1,0.04%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T16:47:55Z,analylit-worker-extraction-2,0.04%,22MiB / 13.65GiB,N/A,N/A
