timestamp,container_name,cpu_percent,mem_usage_mb,gpu_percent,gpu_mem_percent
2025-10-10T02:45:19Z,analylit_monitor,0.68%,10.18MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:19Z,analylit-rq-dashboard-1,0.01%,19.4MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:19Z,analylit_redis,3.49%,3.984MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:19Z,analylit_db,0.00%,19.17MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:19Z,analylit-worker-synthesis-1,0.04%,25.63MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:19Z,analylit-worker-screening-2,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:19Z,analylit-worker-import-1,0.04%,23.02MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:19Z,analylit-worker-extraction-4,0.03%,22.23MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:19Z,analylit-worker-analysis-1,0.03%,22.07MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:19Z,analylit_ollama,97.33%,15.15MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:19Z,analylit-worker-screening-1,0.04%,22.05MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:19Z,analylit-worker-synthesis-2,0.04%,22.08MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:19Z,analylit-worker-extraction-6,0.75%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:19Z,analylit-worker-analysis-2,3.01%,22.08MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:19Z,analylit-worker-extraction-1,15.60%,22.08MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:19Z,analylit-worker-analysis-3,18.64%,22.07MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:19Z,analylit-worker-extraction-2,0.04%,22.08MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:19Z,analylit-worker-analysis-4,0.04%,22.07MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:19Z,analylit-worker-extraction-5,0.05%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:19Z,analylit-worker-analysis-6,0.04%,22.09MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:19Z,analylit-worker-analysis-5,0.06%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:19Z,analylit-worker-extraction-3,0.03%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:19Z,nvidia_gpu,N/A,N/A,
2025-10-10T02:45:27Z,analylit_web,0.00%,0B / 0B,N/A,N/A
2025-10-10T02:45:27Z,analylit-worker-extraction-4,0.05%,22.23MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:27Z,analylit-worker-analysis-1,0.05%,22.07MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:27Z,analylit-worker-analysis-2,0.05%,22.08MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:27Z,analylit-worker-analysis-3,0.05%,22.07MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:27Z,analylit-worker-analysis-4,0.06%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:27Z,analylit-worker-screening-2,0.06%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:27Z,analylit-worker-analysis-6,0.05%,22.09MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:27Z,analylit-worker-screening-1,0.06%,22.05MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:27Z,analylit-worker-extraction-6,0.04%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:27Z,analylit-worker-extraction-1,0.05%,22.08MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:27Z,analylit-worker-analysis-5,0.05%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:27Z,analylit-worker-extraction-2,0.04%,22.08MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:27Z,analylit-worker-import-1,0.05%,23.02MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:27Z,analylit-worker-extraction-5,0.06%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:27Z,analylit-worker-synthesis-1,0.04%,25.63MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:27Z,analylit-worker-extraction-3,0.05%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:27Z,analylit-worker-synthesis-2,0.06%,22.08MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:27Z,analylit_ollama,97.46%,55.28MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:27Z,analylit_monitor,0.08%,10.03MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:27Z,analylit-rq-dashboard-1,0.02%,19.4MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:27Z,analylit_redis,0.43%,3.875MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:27Z,analylit_db,0.00%,21.25MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:27Z,nvidia_gpu,N/A,N/A,
2025-10-10T02:45:36Z,analylit-worker-extraction-4,0.04%,22.23MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:36Z,analylit-worker-analysis-1,0.05%,22.07MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:36Z,analylit-worker-analysis-2,0.05%,22.08MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:36Z,analylit-worker-analysis-3,0.06%,22.07MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:36Z,analylit-worker-analysis-4,0.04%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:36Z,analylit-worker-screening-2,0.05%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:36Z,analylit-worker-analysis-6,0.04%,22.09MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:36Z,analylit-worker-screening-1,0.05%,22.05MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:36Z,analylit-worker-extraction-6,0.04%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:36Z,analylit-worker-extraction-1,0.04%,22.08MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:36Z,analylit-worker-analysis-5,0.04%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:36Z,analylit-worker-extraction-2,0.04%,22.08MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:36Z,analylit-worker-import-1,0.04%,23.02MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:36Z,analylit-worker-extraction-5,0.05%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:36Z,analylit-worker-synthesis-1,0.05%,25.63MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:36Z,analylit-worker-extraction-3,0.04%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:36Z,analylit-worker-synthesis-2,0.06%,22.08MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:36Z,analylit_ollama,77.20%,65.43MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:36Z,analylit_monitor,0.55%,10.71MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:36Z,analylit-rq-dashboard-1,0.01%,19.4MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:36Z,analylit_redis,0.42%,3.875MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:36Z,analylit_db,0.01%,21.25MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:36Z,nvidia_gpu,N/A,N/A,
2025-10-10T02:45:45Z,analylit_web,0.00%,0B / 0B,N/A,N/A
2025-10-10T02:45:45Z,analylit-worker-extraction-4,0.04%,22.23MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:45Z,analylit-worker-analysis-1,0.05%,22.07MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:45Z,analylit-worker-analysis-2,0.07%,22.08MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:45Z,analylit-worker-analysis-3,0.06%,22.07MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:45Z,analylit-worker-analysis-4,0.05%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:45Z,analylit-worker-screening-2,0.05%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:45Z,analylit-worker-analysis-6,0.04%,22.09MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:45Z,analylit-worker-screening-1,0.05%,22.05MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:45Z,analylit-worker-extraction-6,0.05%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:45Z,analylit-worker-extraction-1,0.05%,22.08MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:45Z,analylit-worker-analysis-5,0.06%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:45Z,analylit-worker-extraction-2,0.05%,22.08MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:45Z,analylit-worker-import-1,0.05%,23.02MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:45Z,analylit-worker-extraction-5,0.06%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:45Z,analylit-worker-synthesis-1,0.04%,25.63MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:45Z,analylit-worker-extraction-3,0.04%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:45Z,analylit-worker-synthesis-2,0.05%,22.08MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:45Z,analylit_ollama,102.00%,76.5MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:45Z,analylit_monitor,0.58%,10.76MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:45Z,analylit-rq-dashboard-1,0.02%,19.4MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:45Z,analylit_redis,0.43%,3.875MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:45Z,analylit_db,0.00%,21.6MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:45Z,nvidia_gpu,N/A,N/A,
2025-10-10T02:45:54Z,analylit_web,0.00%,0B / 0B,N/A,N/A
2025-10-10T02:45:54Z,analylit-worker-extraction-4,0.05%,22.23MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:54Z,analylit-worker-analysis-1,0.06%,22.07MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:54Z,analylit-worker-analysis-2,0.04%,22.08MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:54Z,analylit-worker-analysis-3,0.05%,22.07MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:54Z,analylit-worker-analysis-4,0.05%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:54Z,analylit-worker-screening-2,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:54Z,analylit-worker-analysis-6,0.05%,22.09MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:54Z,analylit-worker-screening-1,0.06%,22.05MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:54Z,analylit-worker-extraction-6,0.05%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:54Z,analylit-worker-extraction-1,0.05%,22.08MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:54Z,analylit-worker-analysis-5,0.04%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:54Z,analylit-worker-extraction-2,0.05%,22.08MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:54Z,analylit-worker-import-1,0.04%,23.02MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:54Z,analylit-worker-extraction-5,0.05%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:54Z,analylit-worker-synthesis-1,0.05%,25.63MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:54Z,analylit-worker-extraction-3,0.05%,22.06MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:54Z,analylit-worker-synthesis-2,0.04%,22.08MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:54Z,analylit_ollama,104.22%,86.64MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:54Z,analylit_monitor,0.59%,10.79MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:54Z,analylit-rq-dashboard-1,0.01%,19.4MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:54Z,analylit_redis,0.45%,3.875MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:54Z,analylit_db,0.00%,21.59MiB / 13.65GiB,N/A,N/A
2025-10-10T02:45:54Z,nvidia_gpu,N/A,N/A,
2025-10-10T02:46:02Z,analylit_web,0.00%,0B / 0B,N/A,N/A
2025-10-10T02:46:02Z,analylit-worker-extraction-4,0.04%,22.23MiB / 13.65GiB,N/A,N/A
2025-10-10T02:46:02Z,analylit-worker-analysis-1,0.06%,22.07MiB / 13.65GiB,N/A,N/A
2025-10-10T02:46:02Z,analylit-worker-analysis-2,0.08%,22.08MiB / 13.65GiB,N/A,N/A
2025-10-10T02:46:02Z,analylit-worker-analysis-3,0.06%,22.07MiB / 13.65GiB,N/A,N/A
2025-10-10T02:46:02Z,analylit-worker-analysis-4,0.05%,22.06MiB / 13.65GiB,N/A,N/A
