timestamp,container_name,cpu_percent,mem_usage_mb,gpu_percent,gpu_mem_percent
2025-10-10T01:07:37Z,analylit_db,106.08%,32MiB / 13.65GiB,N/A,N/A
2025-10-10T01:07:37Z,analylit_redis,0.36%,3.195MiB / 13.65GiB,N/A,N/A
2025-10-10T01:07:37Z,analylit_monitor,0.16%,9.176MiB / 13.65GiB,N/A,N/A
2025-10-10T01:07:37Z,analylit-rq-dashboard-1,0.01%,19.62MiB / 13.65GiB,N/A,N/A
2025-10-10T01:07:37Z,analylit_ollama,0.00%,21.69MiB / 13.65GiB,N/A,N/A
2025-10-10T01:07:37Z,nvidia_gpu,N/A,N/A,
2025-10-10T01:07:45Z,analylit-rq-dashboard-1,0.01%,19.62MiB / 13.65GiB,N/A,N/A
2025-10-10T01:07:45Z,analylit_db,0.03%,28.86MiB / 13.65GiB,N/A,N/A
2025-10-10T01:07:45Z,analylit_redis,0.46%,3.195MiB / 13.65GiB,N/A,N/A
2025-10-10T01:07:45Z,analylit_ollama,130.51%,48.5MiB / 13.65GiB,N/A,N/A
2025-10-10T01:07:45Z,analylit_monitor,0.00%,8.996MiB / 13.65GiB,N/A,N/A
2025-10-10T01:07:45Z,nvidia_gpu,N/A,N/A,
2025-10-10T01:07:53Z,analylit-rq-dashboard-1,0.02%,19.62MiB / 13.65GiB,N/A,N/A
2025-10-10T01:07:53Z,analylit_db,0.30%,28.88MiB / 13.65GiB,N/A,N/A
2025-10-10T01:07:53Z,analylit_redis,0.39%,3.195MiB / 13.65GiB,N/A,N/A
2025-10-10T01:07:53Z,analylit_ollama,132.67%,58.04MiB / 13.65GiB,N/A,N/A
2025-10-10T01:07:53Z,analylit_monitor,0.00%,9.223MiB / 13.65GiB,N/A,N/A
2025-10-10T01:07:53Z,nvidia_gpu,N/A,N/A,
2025-10-10T01:08:01Z,analylit-rq-dashboard-1,0.01%,19.62MiB / 13.65GiB,N/A,N/A
2025-10-10T01:08:01Z,analylit_db,0.03%,28.85MiB / 13.65GiB,N/A,N/A
2025-10-10T01:08:01Z,analylit_redis,0.46%,3.195MiB / 13.65GiB,N/A,N/A
2025-10-10T01:08:01Z,analylit_ollama,258.77%,65.68MiB / 13.65GiB,N/A,N/A
2025-10-10T01:08:01Z,analylit_monitor,0.00%,8.945MiB / 13.65GiB,N/A,N/A
2025-10-10T01:08:01Z,nvidia_gpu,N/A,N/A,
2025-10-10T01:08:09Z,analylit-rq-dashboard-1,0.02%,19.62MiB / 13.65GiB,N/A,N/A
2025-10-10T01:08:09Z,analylit_db,0.06%,30.52MiB / 13.65GiB,N/A,N/A
