timestamp,container_name,cpu_percent,mem_usage_mb,gpu_percent,gpu_mem_percent
2025-10-10T15:27:23Z,analylit_monitor,0.38%,9.508MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:23Z,analylit-worker-import-1,0.04%,20.89MiB / 4GiB,N/A,N/A
2025-10-10T15:27:23Z,analylit_redis,2.16%,3.719MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:23Z,analylit_db,0.03%,16.95MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:23Z,analylit-worker-screening-1,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:23Z,analylit-worker-extraction-1,0.04%,21.99MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:23Z,analylit_ollama,9.37%,21.8MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:23Z,analylit-worker-analysis-3,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:23Z,analylit-worker-synthesis-1,0.04%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:23Z,analylit-rq-dashboard-1,0.01%,19.45MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:23Z,analylit-worker-extraction-3,6.47%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:23Z,analylit-worker-screening-2,8.13%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:23Z,analylit-worker-analysis-5,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:23Z,analylit-worker-synthesis-2,0.05%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:23Z,analylit-worker-extraction-4,0.05%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:23Z,analylit-worker-analysis-4,0.05%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:23Z,analylit-worker-extraction-2,0.05%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:23Z,analylit-worker-analysis-6,6.81%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:23Z,analylit-worker-extraction-6,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:23Z,analylit-worker-analysis-1,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:23Z,analylit-worker-extraction-5,0.03%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:23Z,analylit-worker-analysis-2,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:33Z,analylit-rq-dashboard-1,0.01%,19.7MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:33Z,analylit-worker-analysis-3,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:33Z,analylit-worker-analysis-5,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:33Z,analylit_monitor,0.95%,10.84MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:33Z,analylit-worker-extraction-1,0.04%,21.99MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:33Z,analylit-worker-import-1,0.05%,20.89MiB / 4GiB,N/A,N/A
2025-10-10T15:27:33Z,analylit-worker-extraction-3,0.05%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:33Z,analylit_redis,0.36%,3.859MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:33Z,analylit-worker-analysis-4,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:33Z,analylit-worker-extraction-4,0.04%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:33Z,analylit-worker-extraction-2,0.05%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:33Z,analylit_db,1.71%,18.32MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:33Z,analylit-worker-analysis-6,0.03%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:33Z,analylit_ollama,0.00%,25.07MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:33Z,analylit-worker-screening-1,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:33Z,analylit-worker-extraction-6,0.05%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:33Z,analylit-worker-analysis-1,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:33Z,analylit-worker-synthesis-1,0.04%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:33Z,analylit-worker-screening-2,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:33Z,analylit-worker-synthesis-2,0.05%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:33Z,analylit-worker-extraction-5,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:33Z,analylit-worker-analysis-2,0.05%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:40Z,analylit-rq-dashboard-1,0.02%,19.7MiB / 13.65GiB,N/A,N/A
2025-10-10T15:27:40Z,analylit-worker-analysis-3,0.04%,22MiB / 13.65GiB,N/A,N/A
