timestamp,container_name,cpu_percent,mem_usage_mb,gpu_percent,gpu_mem_percent
2025-10-10T16:26:46Z,analylit-worker-import-1,0.09%,20.89MiB / 4GiB,N/A,N/A
2025-10-10T16:26:46Z,analylit_monitor,1.05%,9.883MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:46Z,analylit-rq-dashboard-1,0.03%,19.83MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:46Z,analylit_db,4.04%,20.08MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:46Z,analylit_redis,2.69%,4.109MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:46Z,analylit-worker-extraction-5,0.08%,21.99MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:46Z,analylit-worker-analysis-2,0.08%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:46Z,analylit-worker-screening-2,0.09%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:46Z,analylit-worker-synthesis-2,0.09%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:46Z,analylit_ollama,40.51%,22.53MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:46Z,analylit-worker-screening-1,0.06%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:46Z,analylit-worker-extraction-6,0.11%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:46Z,analylit-worker-analysis-5,0.06%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:46Z,analylit-worker-synthesis-1,0.06%,22.05MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:46Z,analylit-worker-extraction-2,0.04%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:46Z,analylit-worker-analysis-6,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:46Z,analylit_web,373.72%,275.6MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:46Z,analylit-worker-extraction-3,0.05%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:46Z,analylit-worker-analysis-3,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:46Z,analylit-worker-analysis-4,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:46Z,analylit-worker-extraction-1,0.05%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:46Z,analylit-worker-extraction-4,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:46Z,analylit-worker-analysis-1,0.05%,22.05MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:53Z,analylit_web,571.82%,3.609GiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:53Z,analylit-worker-extraction-5,0.04%,21.99MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:53Z,analylit-worker-analysis-2,0.05%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:53Z,analylit-worker-extraction-6,0.05%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:53Z,analylit-worker-synthesis-2,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:54Z,analylit-worker-synthesis-1,0.05%,22.05MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:54Z,analylit-worker-screening-2,0.06%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:54Z,analylit-worker-analysis-5,0.06%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:54Z,analylit-worker-extraction-2,0.06%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:54Z,analylit-worker-extraction-3,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:54Z,analylit-worker-analysis-6,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:54Z,analylit-worker-analysis-3,0.06%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:54Z,analylit-worker-analysis-4,0.05%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:54Z,analylit-worker-extraction-1,0.06%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:54Z,analylit-worker-import-1,0.05%,20.89MiB / 4GiB,N/A,N/A
2025-10-10T16:26:54Z,analylit-worker-extraction-4,0.05%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:54Z,analylit-worker-analysis-1,0.05%,22.05MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:54Z,analylit-worker-screening-1,0.06%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:54Z,analylit_ollama,0.00%,26.17MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:54Z,analylit_monitor,0.89%,10.98MiB / 13.65GiB,N/A,N/A
2025-10-10T16:26:54Z,analylit-rq-dashboard-1,0.01%,19.82MiB / 13.65GiB,N/A,N/A
