timestamp,container_name,cpu_percent,mem_usage_mb,gpu_percent,gpu_mem_percent
2025-10-10T15:30:43Z,analylit-worker-import-1,0.05%,20.89MiB / 4GiB,N/A,N/A
2025-10-10T15:30:43Z,analylit_monitor,0.88%,9.555MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:43Z,analylit-rq-dashboard-1,0.01%,19.81MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:43Z,analylit_redis,3.37%,3.758MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:43Z,analylit_db,2.10%,21.71MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:43Z,analylit-worker-synthesis-2,11.60%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:43Z,analylit_ollama,2.78%,28.81MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:43Z,analylit-worker-screening-1,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:43Z,analylit-worker-analysis-4,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:43Z,analylit-worker-extraction-2,0.03%,21.99MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:43Z,analylit-worker-synthesis-1,0.05%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:43Z,analylit-worker-screening-2,0.05%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:43Z,analylit-worker-extraction-4,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:43Z,analylit-worker-analysis-3,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:43Z,analylit-worker-extraction-6,0.05%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:43Z,analylit-worker-analysis-1,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:43Z,analylit-worker-extraction-1,0.06%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:43Z,analylit-worker-analysis-5,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:43Z,analylit-worker-extraction-3,13.79%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:43Z,analylit-worker-analysis-2,0.04%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:43Z,analylit-worker-extraction-5,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:43Z,analylit-worker-analysis-6,0.05%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:43Z,--,0.00%,0B / 0B,N/A,N/A
2025-10-10T15:30:50Z,analylit-worker-analysis-4,0.04%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:50Z,analylit-worker-extraction-2,0.04%,21.99MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:50Z,analylit-worker-analysis-3,0.05%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:50Z,analylit-worker-analysis-1,0.05%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:50Z,analylit-worker-analysis-5,0.04%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:50Z,analylit-worker-extraction-4,0.05%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:50Z,analylit-worker-analysis-2,0.04%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:50Z,analylit-worker-screening-1,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:50Z,analylit-worker-extraction-6,0.05%,22.01MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:50Z,analylit-worker-synthesis-2,0.05%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:50Z,analylit-worker-analysis-6,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:50Z,analylit-worker-import-1,0.04%,20.89MiB / 4GiB,N/A,N/A
2025-10-10T15:30:50Z,analylit-worker-extraction-1,0.06%,22MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:50Z,analylit-worker-extraction-3,0.04%,22.02MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:50Z,analylit-worker-synthesis-1,0.04%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:50Z,analylit-worker-screening-2,0.04%,22.03MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:50Z,analylit-worker-extraction-5,0.05%,22.04MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:50Z,analylit_monitor,0.93%,10.72MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:50Z,analylit_ollama,0.00%,26.73MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:50Z,analylit-rq-dashboard-1,0.22%,19.84MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:50Z,analylit_redis,0.38%,3.926MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:50Z,analylit_db,0.00%,20MiB / 13.65GiB,N/A,N/A
2025-10-10T15:30:58Z,analylit-worker-analysis-4,0.03%,22MiB / 13.65GiB,N/A,N/A
